id,Titel,Voornaam,Patroniem en tussenvoegsel,Achternaam,geslacht,Geportretteerd op,Geportretteerd op genormaliseerd,regent / kerkmeester,regent / kerkmeester genormaliseerd,lid/officier schutterij (vaandrigs vanaf 1650),lid/officier schutterij (vaandrigs vanaf 1650) genormaliseerd,functie in stadsregering,functie in stadsregering genormaliseerd,Elias,Dudok van Heel,Doop/geboren,Doop/geboren genormaliseerd,Doop/geboren te,DTB dopen,Begraven/overleden,Begraven/overleden genormaliseerd,Begraven/overleden te,DTB begraven,Getrouwd met,Getrouwd met genormaliseerd,Ondertrouw (+ leeftijd),Ondertrouw (+ leeftijd) genormaliseerd,DTB ondertrouw,Adres,Denominatie,Beroep,kohier 1585,kohier 1631,kohier 1674,Kohier 1742,Archief Hart,Associatie,Opmerkingen,Wikidata
1503,,Claes,,Burghmans,M,,,1599 - Sph 1599,Sph 1599-01-01|1599-12-31/1599-01-01|1599-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,,Jan,de ,Burlett,M,,,,,"1787 - vaand. W. IX 1787-90, kap. W. XXVIII 1790-95",vaand. W. IX 1787-01-01|1787-12-31/1790-01-01|1790-12-31; kap. W. XXVIII 1790-01-01|1790-12-31/1795-01-01|1795-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,,Everard,de,Burlett junior,M,,,,,"1783 - vaand. W. XXX 1783-87, luit. W. XXX 1787-90, kap. W. XXXIX 1790-95",vaand. W. XXX 1783-01-01|1783-12-31/1787-01-01|1787-12-31; luit. W. XXX 1787-01-01|1787-12-31/1790-01-01|1790-12-31; kap. W. XXXIX 1790-01-01|1790-12-31/1795-01-01|1795-12-31,1789 C.,C. 1789-01-01|1789-12-31/1789-01-01|1789-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,,Gabriël,,Bury,M,,,,,"1787 - vaand. W. XXXVII 1787, 1795, luit. W. XXXVII 1795",vaand. W. XXXVII 1787-01-01|1787-12-31/1787-01-01|1787-12-31; vaand. W. XXXVII 1795-01-01|1795-12-31/1795-01-01|1795-12-31; luit. W. XXXVII 1795-01-01|1795-12-31/1795-01-01|1795-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,,Syble Cats,,Bussemaker,M,,,Gh 1856-1858,Gh 1856-01-01|1856-12-31/1858-01-01|1858-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,,Hendrik,,Buttelman,M,,,,,1748 - luit. W. XXXIV 1748-66,luit. W. XXXIV 1748-01-01|1748-12-31/1766-01-01|1766-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,,Cornelis,Jacobsz,Buyck,M,,,1539 - OZHh 1539.,OZHh 1539-01-01|1539-12-31/1539-01-01|1539-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,,Sybrant,Joosten,Buyck,M,,,1576 - Gh 1576,Gh 1576-01-01|1576-12-31/1576-01-01|1576-12-31,,,1571-78 Sch.; 1575 B.,Sch. 1571-01-01|1571-12-31/1578-01-01|1578-12-31; B. 1575-01-01|1575-12-31/1575-01-01|1575-12-31,,"1985, I, nr. 8",1532,1532-01-01/1532-12-31,,,1612,1612-01-01/1612-12-31,,,,,,,,,,,,,,,,,,
1511,,Cornelis,Sybrantsz,Buyck,M,,,"1526 - Gh 1526-27, 1530-35, 1537-1547, 1549-50",Gh 1526-01-01|1526-12-31/1527-01-01|1527-12-31; Gh 1530-01-01|1530-12-31/1535-01-01|1535-12-31; Gh 1537-01-01|1537-12-31/1547-01-01|1547-12-31; Gh 1549-01-01|1549-12-31/1550-01-01|1550-12-31,,,1525 Sch.; 1525 R.; 1536 B.,Sch. 1525-01-01|1525-12-31/1525-01-01|1525-12-31; R. 1525-01-01|1525-12-31/1525-01-01|1525-12-31; B. 1536-01-01|1536-12-31/1536-01-01|1536-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,,Joost,Sybrantsz,Buyck,M,,,1548 - Gh 1548,Gh 1548-01-01|1548-12-31/1548-01-01|1548-12-31,,,"1532, 34, 37, 39, 41, 43, 45, 47 Sch.; 1549, 50, 52, 54, 56, 57, 59, 61, 65, 67, 69, 70, 72, 74, 76, 77 B.; 1561-78 R.; 1572 S.",Sch. 1532-01-01|1532-12-31/1532-01-01|1532-12-31; Sch. 1534-01-01|1534-12-31/1534-01-01|1534-12-31; Sch. 1537-01-01|1537-12-31/1537-01-01|1537-12-31; Sch. 1539-01-01|1539-12-31/1539-01-01|1539-12-31; Sch. 1541-01-01|1541-12-31/1541-01-01|1541-12-31; Sch. 1543-01-01|1543-12-31/1543-01-01|1543-12-31; Sch. 1545-01-01|1545-12-31/1545-01-01|1545-12-31; Sch. 1547-01-01|1547-12-31/1547-01-01|1547-12-31; B. 1549-01-01|1549-12-31/1550-01-01|1550-12-31; B. 1552-01-01|1552-12-31/1552-01-01|1552-12-31; B. 1554-01-01|1554-12-31/1554-01-01|1554-12-31; B. 1556-01-01|1556-12-31/1557-01-01|1557-12-31; B. 1559-01-01|1559-12-31/1559-01-01|1559-12-31; B. 1561-01-01|1561-12-31/1561-01-01|1561-12-31; B. 1565-01-01|1565-12-31/1565-01-01|1565-12-31; B. 1567-01-01|1567-12-31/1567-01-01|1567-12-31; B. 1569-01-01|1569-12-31/1570-01-01|1570-12-31; B. 1572-01-01|1572-12-31/1572-01-01|1572-12-31; B. 1574-01-01|1574-12-31/1574-01-01|1574-12-31; B. 1576-01-01|1576-12-31/1577-01-01|1577-12-31; R. 1561-01-01|1561-12-31/1578-01-01|1578-12-31; S. 1572-01-01|1572-12-31/1572-01-01|1572-12-31,,"1985, I, nr. 3",1505 ca.,1503-01-01/1507-12-31,,,1588-02-10/14,1588-02-10/1588-02-14,Leiden,,,,,,,"Nieuwendijk nr. 214 (tot 1562), Singel (1561)",katholiek,lakenkoopman,"25,- (NZ f. 142, kleinzoon)",,,,,,"DvH 2008, p. 74",
1513,,Hendrick,,Buyck,M,,,"1578 - Dh 1578-1613, Rh 1595",Dh 1578-01-01|1578-12-31/1613-01-01|1613-12-31; Rh 1595-01-01|1595-12-31/1595-01-01|1595-12-31,,,,,,,,,,,,,,,,,,,,,,koopman,012 (p. 52),,,,,,,
1514,,Joost,,Buyck,M,,,,,overm. Hd voor 1477,overm. Hd ?|1476-12-31/?|1476-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,,Pieter,van,Buyren,M,,,,,1652 - luit. W. IV 1652-?,luit. W. IV 1652-01-01|1652-12-31/1652-01-01|?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,Mr.,Abraham,,Buys,M,,,,,,,1726 Pens.,Pens. 1726-01-01|1726-12-31/1726-01-01|1726-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,,Elbert,,Buys,M,,,,,1790 - vaand. W. XXIV 1790-95,vaand. W. XXIV 1790-01-01|1790-12-31/1795-01-01|1795-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,,Hendrik,,Buys,M,,,,,1793 - vaand. W. XLVII 1793-95,vaand. W. XLVII 1793-01-01|1793-12-31/1795-01-01|1795-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,,Jan Elias,,Buys,M,,,,,,,1759 Sch.,Sch. 1759-01-01|1759-12-31/1759-01-01|1759-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Mr.,Willem,,Buys,M,,,,,,,1693 Pens.,Pens. 1693-01-01|1693-12-31/1693-01-01|1693-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,Mr.,Willem,,Buys,M,,,,,,,1726 Sch.,Sch. 1726-01-01|1726-12-31/1726-01-01|1726-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,,Willem,,Buys de Jonge,M,,,,,1729 - kap. W. XLVII 1729-48,kap. W. XLVII 1729-01-01|1729-12-31/1748-01-01|1748-12-31,1722 C.,C. 1722-01-01|1722-12-31/1722-01-01|1722-12-31,,,,,,,,,,,,,,,,,,commies generaal,,,,"10.000, db 5, 1 buitenpl, k met 4 p, W58/4497",,,,
1523,,Jan,,Buys Egbertsz,M,,,,,1730 - luit. W. XVI 1730-48,luit. W. XVI 1730-01-01|1730-12-31/1748-01-01|1748-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,,Egbert,,Buys Jacobsz,M,,,,,1748 - vaand. W. XXXI 1748-54,vaand. W. XXXI 1748-01-01|1748-12-31/1754-01-01|1754-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,,Egbert ,,Buys Jansz,M,,,,,1741 - vaand. W. IX 1741-44x,vaand. W. IX 1741-01-01|1741-12-31/1744-01-01|1744-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526,,Jan,van,Byler,M,,,1602 - Rh 1602-1606,Rh 1602-01-01|1602-12-31/1606-01-01|1606-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,,Joan,,Byler / Bylert,M,,,1689-97† km. O.K.,km. O.K. 1689-01-01|1689-12-31/1697-01-01|1697-12-31,"1683 - luit. W. XXVI 1683-84, luit. W. XLV 1684-96",luit. W. XXVI 1683-01-01|1683-12-31/1684-01-01|1684-12-31; luit. W. XLV 1684-01-01|1684-12-31/1696-01-01|1696-12-31,,,,,,,,,1697,1697-01-01/1697-12-31,,,,,,,,,,,,,,,,,,
1528,,Daniel,,Byling,M,,,,,1714 - luit. W. LVI 1714-17,luit. W. LVI 1714-01-01|1714-12-31/1717-01-01|1717-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,,Pieter,Claesz,Calf,M,,,,,,,1591 Sch.,Sch. 1591-01-01|1591-12-31/1591-01-01|1591-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,,Willem,Maertensz,Calf,M,,,,,,,1598 S.,S. 1598-01-01|1598-12-31/1598-01-01|1598-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,,Claes,Pietersz,Calf,M,,,,,1580 - kap. W. VII 1580,kap. W. VII 1580-01-01|1580-12-31/1580-01-01|1580-12-31,1581 C.,C. 1581-01-01|1581-12-31/1581-01-01|1581-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,Mr.,Abraham,,Calkoen,M,,,,,,,1748 Secr.,Secr. 1748-01-01|1748-12-31/1748-01-01|1748-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,Mr.,Abraham,,Calkoen,M,,,,,,,1782 S.,S. 1782-01-01|1782-12-31/1782-01-01|1782-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,,Claes,,Calkoen,M,,,,,"1684 - vaand. W. XLIV 1684, vaand. W. IX 1685-88",vaand. W. XLIV 1684-01-01|1684-12-31/1684-01-01|1684-12-31; vaand. W. IX 1685-01-01|1685-12-31/1688-01-01|1688-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1535,,Cornelis,,Calkoen,M,,,1684-96 km. W.K.,km. W.K. 1684-01-01|1684-12-31/1696-01-01|1696-12-31,"1672 - luit. W. XLIII 1672-81, luit. W. XLIII 1684, kap. W. XX 1686-1709†",luit. W. XLIII 1672-01-01|1672-12-31/1681-01-01|1681-12-31; luit. W. XLIII 1684-01-01|1684-12-31/1684-01-01|1684-12-31; kap. W. XX 1686-01-01|1686-12-31/1709-01-01|1709-12-31,1696 Sch.; 1700-10 R.,Sch. 1696-01-01|1696-12-31/1696-01-01|1696-12-31; R. 1700-01-01|1700-12-31/1710-01-01|1710-12-31,"263 - dl. 2, p. 653 ",,6 december 1639-2 november 1710,1639-12-06,,,,1710-11-02,,,Petronella Haack/ Anna Munter/ Maria van der Merct,Petronella Haack (?); Anna Munter (?); Maria van der Merct (?),,,,,,,,,,,,,verrekende over jaren 1678 en 1695 de bedragen 218.000 en 1.094.200. Maria van der Merct liet verm na v 119.000,Q1882616
1536,Mr. ,Henricus,,Calkoen,M,,,1787 - Amwh 1787-1797,Amwh 1787-01-01|1787-12-31/1797-01-01|1797-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KA 7505: ontslagen 23-10-1797,
1537,,Jan,,Calkoen,M,,,1714-22 km. N.W.K.,km. N.W.K. 1714-01-01|1714-12-31/1722-01-01|1722-12-31,"1720 - luit. W. XXII 1720-21, kap. W. XLV 1721-42",luit. W. XXII 1720-01-01|1720-12-31/1721-01-01|1721-12-31; kap. W. XLV 1721-01-01|1721-12-31/1742-01-01|1742-12-31,"1722 C.; 1727 Sch.; 1748-68 R.; 1754, 57, 59, 62, 64, 66, 67 B.",C. 1722-01-01|1722-12-31/1722-01-01|1722-12-31; Sch. 1727-01-01|1727-12-31/1727-01-01|1727-12-31; R. 1748-01-01|1748-12-31/1768-01-01|1768-12-31; B. 1754-01-01|1754-12-31/1754-01-01|1754-12-31; B. 1757-01-01|1757-12-31/1757-01-01|1757-12-31; B. 1759-01-01|1759-12-31/1759-01-01|1759-12-31; B. 1762-01-01|1762-12-31/1762-01-01|1762-12-31; B. 1764-01-01|1764-12-31/1764-01-01|1764-12-31; B. 1766-01-01|1766-12-31/1767-01-01|1767-12-31,"352 - dl. 2, p. 840",,1 september 1694-9 januari 1768,1694-09-01,,,,1768-01-09,,,ongehuwd,,,,,,,,,,,08.000 - 9000,,,liet verm na v 657.000,Q4534978
1538,,Joan,,Calkoen,M,,,,,1691 - kap. W. L 1691-1701,kap. W. L 1691-01-01|1691-12-31/1701-01-01|1701-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,Mr.,Pieter,,Calkoen,M,,,1704-21 km. E.K.,km. E.K. 1704-01-01|1704-12-31/1721-01-01|1721-12-31,1709 - kap. W. XX 1709-24†,kap. W. XX 1709-01-01|1709-12-31/1724-01-01|1724-12-31,1721 Sch.,Sch. 1721-01-01|1721-12-31/1721-01-01|1721-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,,Pieter,,Calkoen,M,,,1725-31 km. N.K.,km. N.K. 1725-01-01|1725-12-31/1731-01-01|1731-12-31,,,1731 C.; 1733 Sch.,C. 1731-01-01|1731-12-31/1731-01-01|1731-12-31; Sch. 1733-01-01|1733-12-31/1733-01-01|1733-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,,Nicolaas,,Calkoen Cornelisz,M,,,1685-? km. N.W.K.?; 1689-1703 km. E.K.; 1704-07 km. N.K.,km. N.W.K. 1685-01-01|1685-12-31/1685-01-01|1685-12-31; km. E.K. 1689-01-01|1689-12-31/1703-01-01|1703-12-31; km. N.K. 1704-01-01|1704-12-31/1707-01-01|1707-12-31,"1686 - vaand. W. XLVII 1686-89, kap. W. L 1689-91, kap. W. XLV 1698-1721",vaand. W. XLVII 1686-01-01|1686-12-31/1689-01-01|1689-12-31; kap. W. L 1689-01-01|1689-12-31/1691-01-01|1691-12-31; kap. W. XLV 1698-01-01|1698-12-31/1721-01-01|1721-12-31,1707 C.; 1720 Sch.; 1731-38 R.,C. 1707-01-01|1707-12-31/1707-01-01|1707-12-31; Sch. 1720-01-01|1720-12-31/1720-01-01|1720-12-31; R. 1731-01-01|1731-12-31/1738-01-01|1738-12-31,"321 - dl. 2, p. 773 ",,1 december 1666-11 juni 1738,1666-12-01,,,,1738-06-11,,,Agatha van Loon (1),Agatha van Loon (?),1689,1689,,,,commissaris van de rekenkamer,,,,"07000,- w60/5599",,,,Q1889453
1542,,Cornelis,,Calkoen de jonge,M,,,1683-voor 1689 km. Z.K.; 1689-? Km. E.K.; 1699-1702 km. N.W.K.,km. Z.K. 1683-01-01|1683-12-31/1688-01-01|1688-12-31; km. E.K. 1689-01-01|1689-12-31/1689-01-01|1689-12-31; km. N.W.K. 1699-01-01|1699-12-31/1702-01-01|1702-12-31,1703 - kap. W. LI 1703-18,kap. W. LI 1703-01-01|1703-12-31/1718-01-01|1718-12-31,1702 Sch.,Sch. 1702-01-01|1702-12-31/1702-01-01|1702-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,,Nicolaas,,Calkoen de Jonge,M,,,1720-25 km. Oo.K.,km. Oo.K. 1720-01-01|1720-12-31/1725-01-01|1725-12-31,,,1725 C.,C. 1725-01-01|1725-12-31/1725-01-01|1725-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,Mr.,Nicolaas,,"Calkoen, heer van Kortenhoef ",M,,,1769-77 km. N.W.K.,km. N.W.K. 1769-01-01|1769-12-31/1777-01-01|1777-12-31,,,1777 C.; 1778 Sch.; 1782-95 R.,C. 1777-01-01|1777-12-31/1777-01-01|1777-12-31; Sch. 1778-01-01|1778-12-31/1778-01-01|1778-12-31; R. 1782-01-01|1782-12-31/1795-01-01|1795-12-31,"418 - dl. 2, p. 969",,22 januari 1753-1 januari 1817,1753-01-22,,,,1817-01-01,,,,,,,,,,,,,,,,,,Q2230347
1545,,Abraham ,,Cambier,M,,,,,1721 - luit. W. XXIX 1721-35†,luit. W. XXIX 1721-01-01|1721-12-31/1735-01-01|1735-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,,Jacob,Huygensz van,Campen,M,,,,,,,1578-93 R.,R. 1578-01-01|1578-12-31/1593-01-01|1593-12-31,"030 - dl. 1, p. 85 ","1985, II, nr. 9",,,,,,,,,,,,,,Warmoesstraat,,koopman,015 (p. 58),,,,,,,
1547,,Willem,van,Campen,M,,,,,1650 - vaand. W. XXVI 1650-60,vaand. W. XXVI 1650-01-01|1650-12-31/1660-01-01|1660-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,Mr.,Cornelis,,Campen,M,,,1517 - OZHh 1517.,OZHh 1517-01-01|1517-12-31/1517-01-01|1517-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,,Dirk ,Claassen,Can,M,,,1613 - Amh 1613,Amh 1613-01-01|1613-12-31/1613-01-01|1613-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,,Reynier,,Cant,M,,,,,,,"1578-95 R.; …; 1580, 81, 83, 85, 86, 88, 91, 92, 94, 95 B.",R. 1578-01-01|1578-12-31/1595-01-01|1595-12-31; B. 1580-01-01|1580-12-31/1581-01-01|1581-12-31; B. 1583-01-01|1583-12-31/1583-01-01|1583-12-31; B. 1585-01-01|1585-12-31/1586-01-01|1586-12-31; B. 1588-01-01|1588-12-31/1588-01-01|1588-12-31; B. 1591-01-01|1591-12-31/1592-01-01|1592-12-31; B. 1594-01-01|1594-12-31/1595-01-01|1595-12-31,"026 - dl. 1, p. 72 ",,1536-10 december 1595,1536-01-01/1536-12-31,,,,1595-12-10,,,,,,,,NZ Voorburgwal,,handelaar in buskruit,060 (p. 136),,,,,,,Q57151161
1551,,Cornelis,,Canter,M,,,1621 - Amh 1622; km. Z.K. 1621-25,Amh 1622-01-01|1622-12-31/1622-01-01|1622-12-31; km. Z.K. 1621-01-01|1621-12-31/1625-01-01|1625-12-31,1621 - kap. W. XI 1621-23,kap. W. XI 1621-01-01|1621-12-31/1623-01-01|1623-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1552,Mr. ,Albert,Pietersz,Canter ,M,,,"1575 - Gh 1575, 1576",Gh 1575-01-01|1575-12-31/1576-01-01|1576-12-31,,,1556 Sch.; 1571 R.,Sch. 1556-01-01|1556-12-31/1556-01-01|1556-12-31; R. 1571-01-01|1571-12-31/1571-01-01|1571-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,Mr.,Elbert / Albert,Pietersz,Cantert,M,,,"1569 - OZHh 1569, 1570",OZHh 1569-01-01|1569-12-31/1570-01-01|1570-12-31,,,1556 Sch.; 1571-78 R.,Sch. 1556-01-01|1556-12-31/1556-01-01|1556-12-31; R. 1571-01-01|1571-12-31/1578-01-01|1578-12-31,,"1985, I, nr. 13",,,,,1583,1583-01-01/1583-12-31,,,,,,,,,,,,,,,,,,
1554,,Jacob,Pietersz,Cantert,M,,,1556 - OZHh 1556; km. O.K. 1572; OZHh 1575-77,OZHh 1556-01-01|1556-12-31/1556-01-01|1556-12-31; km. O.K. 1572-01-01|1572-12-31/1572-01-01|1572-12-31; OZHh 1575-01-01|1575-12-31/1577-01-01|1577-12-31,,,1567/69/71/73 Sch.; 1577 B.,Sch. 1567-01-01|1567-12-31/1567-01-01|1567-12-31; Sch. 1569-01-01|1569-12-31/1569-01-01|1569-12-31; Sch. 1571-01-01|1571-12-31/1571-01-01|1571-12-31; Sch. 1573-01-01|1573-12-31/1573-01-01|1573-12-31; B. 1577-01-01|1577-12-31/1577-01-01|1577-12-31,,"1985, I, nr. 11",,,,,1586,1586-01-01/1586-12-31,,,,,,,,,,,,,,,,,,
1555,,Pieter,,Cantert Willemsz,M,,,1537 - km. O.K. 1537,km. O.K. 1537-01-01|1537-12-31/1537-01-01|1537-12-31,,,"1536, 38, 40 Sch.; 1536-1570 R.; 1544, 45, 47, 48, 50, 52, 53, 55, 57, 59, 60, 62, 63, 65 B., 1562, 63, 65 Thes.",Sch. 1536-01-01|1536-12-31/1536-01-01|1536-12-31; Sch. 1538-01-01|1538-12-31/1538-01-01|1538-12-31; Sch. 1540-01-01|1540-12-31/1540-01-01|1540-12-31; R. 1536-01-01|1536-12-31/1570-01-01|1570-12-31; B. 1544-01-01|1544-12-31/1545-01-01|1545-12-31; B. 1547-01-01|1547-12-31/1548-01-01|1548-12-31; B. 1550-01-01|1550-12-31/1550-01-01|1550-12-31; B. 1552-01-01|1552-12-31/1553-01-01|1553-12-31; B. 1555-01-01|1555-12-31/1555-01-01|1555-12-31; B. 1557-01-01|1557-12-31/1557-01-01|1557-12-31; B. 1559-01-01|1559-12-31/1560-01-01|1560-12-31; B. 1562-01-01|1562-12-31/1563-01-01|1563-12-31; B. 1565-01-01|1565-12-31/1565-01-01|1565-12-31; Th. 1562-01-01|1562-12-31/1563-01-01|1563-12-31; Th. 1565-01-01|1565-12-31/1565-01-01|1565-12-31,,"2018, p. 84",1504 voor,?/1503-12-31,,,1570-12-04,1570-12-04,Amsterdam,,,,,,,,,,,,,,,,,
1556,,Rochus,Pietersz van de,Capelle,M,,,1624 - OZHh 1624-1636,OZHh 1624-01-01|1624-12-31/1636-01-01|1636-12-31,,,,,,,1571,1571-01-01/1571-12-31,Delft,,1636,1636-01-01/1636-12-31,Amsterdam,,,,,,,,,,,_,,,,,,
1557,,Jacob,van,Capelle,M,,,,,1687 - vaand. W. XLIV 1687-96,vaand. W. XLIV 1687-01-01|1687-12-31/1696-01-01|1696-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,,Nicolaas Rochus,van,Capelle,M,,,,,1694 - vaand. W. XLVIII 1694-97,vaand. W. XLVIII 1694-01-01|1694-12-31/1697-01-01|1697-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,,Rochus,van de,Capelle,M,,,1672 km. Oo.K.,km. Oo.K. 1672-01-01|1672-12-31/1672-01-01|1672-12-31,"1668 - luit. W. XLVI 1668-72, kap. W. XLVI 1672-79†",luit. W. XLVI 1668-01-01|1668-12-31/1672-01-01|1672-12-31; kap. W. XLVI 1672-01-01|1672-12-31/1679-01-01|1679-12-31,,,,,,,,,1679-05-31,1679-05-31,,,Sara de Marez,Sara de Marez (?),1671-06-02,1671-06-02,Amsterdam,,,,,," 080.000 - f400,- M/f568v",,,,portret Vaillant? IB nr. 46652,
1560,,Johannes,,Capellen,M,,,,,1720- vaand. W. LIX 1720-33,vaand. W. LIX 1720-01-01|1720-12-31/1733-01-01|1733-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,,Wynand ,,Cappenberg,M,,,,,1787 - kap. W. XLVI 1787-95,kap. W. XLVI 1787-01-01|1787-12-31/1795-01-01|1795-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562,,Johannes,,Captein junior,M,,,,,1765 - vaand. W. VII 1765-75,vaand. W. VII 1765-01-01|1765-12-31/1775-01-01|1775-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,,Frans Adam,,Carelson,M,,,,,1749 - luit. W. LX 1749-71,luit. W. LX 1749-01-01|1749-12-31/1771-01-01|1771-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,,Godfried Leonard,,Carp,M,,,,,1772 - vaand. W. XXXVI 1772-83,vaand. W. XXXVI 1772-01-01|1772-12-31/1783-01-01|1783-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,,Hendrik Nicolaas,,Carp,M,,,,,"1787 - vaand. W. VII 1787, 1795",vaand. W. VII 1787-01-01|1787-12-31/1787-01-01|1787-12-31; vaand. W. VII 1795-01-01|1795-12-31/1795-01-01|1795-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566,,Johannes,,Carp,M,,,,,"1780 - vaand. W. XL 1780-87, kap. W. XXXI 1787-93",vaand. W. XL 1780-01-01|1780-12-31/1787-01-01|1787-12-31; kap. W. XXXI 1787-01-01|1787-12-31/1793-01-01|1793-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,,Jan,de,Carpentier,M,,,1667 - km. E.K. 1667-76,km. E.K. 1667-01-01|1667-12-31/1676-01-01|1676-12-31,"1667 - luit. W. XX 1667-70, luit. W. XL 1675-76",luit. W. XX 1667-01-01|1667-12-31/1670-01-01|1670-12-31; luit. W. XL 1675-01-01|1675-12-31/1676-01-01|1676-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,,Steven Daniel,,Cartier,M,,,,,"1787 - luit. W. XXIX 1787, kap-luit. 1787, 1795",luit. W. XXIX 1787-01-01|1787-12-31/1787-01-01|1787-12-31; kapluit. W. XXIX 1787-01-01|1787-12-31/1787-01-01|1787-12-31; kapluit. W. XXIX 1795-01-01|1795-12-31/1795-01-01|1795-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,,Anthony,,Casteleyn,M,,,1651 - SJh 1651-1663,SJh 1651-01-01|1651-12-31/1663-01-01|1663-12-31,1654 - luit. W. VI 1654-64†,luit. W. VI 1654-01-01|1654-12-31/1664-01-01|1664-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,,Pieter,van,Castercum,M,,,,,1684 - vaand. W. XVIII 1684-85,vaand. W. XVIII 1684-01-01|1684-12-31/1685-01-01|1685-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,,Claes,Bouwensz in de ,Cat,M,,,1522 - Gh 1522-1536,Gh 1522-01-01|1522-12-31/1536-01-01|1536-12-31,,,,,"dl. 1, p. 63",,,,,,,,,,,,,,,,,,,,,,,,,
1572,,Jan,Claesz,Cat,M,,,1556 - Gh 1556-1562,Gh 1556-01-01|1556-12-31/1562-01-01|1562-12-31,,,1578 C.; 1579 B. ,C. 1578-01-01|1578-12-31/1578-01-01|1578-12-31; B. 1579-01-01|1579-12-31/1579-01-01|1579-12-31,"dl. 1, p. 63",,,,,,,,,,,,,,,,,,,,,,,,,
1573,,Martyn,,Catelyn,M,,,1597 - Sph 1597-1601,Sph 1597-01-01|1597-12-31/1601-01-01|1601-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,,Joannes,,Caudri,M,,,,,1759 - luit. W. XXVI 1759-72,luit. W. XXVI 1759-01-01|1759-12-31/1772-01-01|1772-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,,Jan ,de,Cerff Jansz,M,,,1740-52† km. E.K.,km. E.K. 1740-01-01|1740-12-31/1752-01-01|1752-12-31,1709 - vaand. W. XLV 1709-12,vaand. W. XLV 1709-01-01|1709-12-31/1712-01-01|1712-12-31,,,,,,,,,1752,1752-01-01/1752-12-31,,,,,,,,,,,,,,,,,,
