id,Titel,Voornaam,Patroniem en tussenvoegsel,Achternaam,geslacht,Geportretteerd op,Geportretteerd op genormaliseerd,regent / kerkmeester,regent / kerkmeester genormaliseerd,lid/officier schutterij (vaandrigs vanaf 1650),lid/officier schutterij (vaandrigs vanaf 1650) genormaliseerd,functie in stadsregering,functie in stadsregering genormaliseerd,Elias,Dudok van Heel,Doop/geboren,Doop/geboren genormaliseerd,Doop/geboren te,DTB dopen,Begraven/overleden,Begraven/overleden genormaliseerd,Begraven/overleden te,DTB begraven,Getrouwd met,Getrouwd met genormaliseerd,Ondertrouw (+ leeftijd),Ondertrouw (+ leeftijd) genormaliseerd,DTB ondertrouw,Adres,Denominatie,Beroep,kohier 1585,kohier 1631,kohier 1674,Kohier 1742,Archief Hart,Associatie,Opmerkingen,Wikidata
750,,Jacob Fredrik,du,Fay,M,"1714 - R. 42 - Boonen Sph NWh, nr. 4",R. 42,1710 - Sph NWh 1710-1715,SphNWh 1710-01-01|1710-12-31/1715-01-01|1715-12-31,,,1715 Secr.; 1722 Sch.; 1722-34 R.,Secr. 1715-01-01|1715-12-31/1715-01-01|1715-12-31; Sch. 1722-01-01|1722-12-31/1722-01-01|1722-12-31; R. 1722-01-01|1722-12-31/1734-01-01|1734-12-31,"311 - dl. 2, p. 748 ",,1682-06-19,1682-06-19,,,1734-02-05,1734-02-05,,,Elisabeth van Alsem,Elisabeth van Alsem (?),,,,Keizersgracht,,,,,,"18.000 - 20.000 W. 59 / 5234 (wed.); Elias: 18-20.000 ink., 1550 huur",,,,Q23037984
751,,Hendrik,,Visscher,M,"1715 - R. 26 - Boonen Lh, nr. 1",R. 26,1709 - Lh 1709-1720†,Lh 1709-01-01|1709-12-31/1720-01-01|1720-12-31,,,,,_,,,,,,1720,1720-01-01/1720-12-31,,,,,,,,,,,,,,,,,,
752,,Willem,,Pijll,M,"1715 - R. 26 - Boonen Lh, nr. 2",R. 26,1711 - Lh 1711-1742†,Lh 1711-01-01|1711-12-31/1742-01-01|1742-12-31,,,,,_,,1675,1675-01-01/1675-12-31,,,1742,1742-01-01/1742-12-31,,,,,,,,,,,,,,"w 56/3119, ink 1500",,,,
753,,Michiel,du,Fay,M,"1715 - R. 26 - Boonen Lh, nr. 3",R. 26,1712 - Lh 1712-1715/'16,Lh 1712-01-01|1712-12-31/1716-01-01|1716-12-31,,,,,_,,1684,1684-01-01/1684-12-31,,,1724,1724-01-01/1724-12-31,,,,,,,,,,,,,,_,,,,
754,,Wolferd Hendrik,,Drinkveld,M,"1715 - R. 26 - Boonen Lh, nr. 4",R. 26,1713 - Lh 1713-1746†,Lh 1713-01-01|1713-12-31/1746-01-01|1746-12-31,,,,,_,,1665?,1665-01-01/1665-12-31,Amsterdam,"DTB 48, p.426(folio 213), nr.5 Nieuwe Kerk",1746-01-10,1746-01-10,Amsterdam,"DTB 1049, p.68vo en p.69",Elisabeth Cloppenburgh,Elisabeth Cloppenburgh (?),1701-09-17,1701-09-17,"DTB 533, p. 258","Bantammerstraat (1701, 1742)",Hervormd,Apotheker,,,,"03.000 W. 10 / 2784: db. 1, hr. 300, kap. 1/2, ink. 3000",,,,
755,,François ,,Meerhout,M,"1715 - R. 26 - Boonen Lh, nr. 5",R. 26,1716 - Lh 1716-1740†,Lh 1716-01-01|1716-12-31/1740-01-01|1740-12-31,1709 - luit. W. LI 1709-34,luit. W. LI 1709-01-01|1709-12-31/1734-01-01|1734-12-31,,,_,,1655-10-06,1655-10-06,Amsterdam,"DTB 43, p.312 Nieuwe Kerk",1740-06-02,1740-06-02,Amsterdam,"DTB 1058, p.104vo en p.105 Nieuwe Kerk",,,,,,,Hervormd,,,,,_,,,,
756,Mr.,Pieter,,Nuyts,M,"1716 - R. 62 - Boonen Bwh, nr. 1",R. 62,1695 - Lh 1695-1696; Bwh 1696-1724†,Lh 1695-01-01|1695-12-31/1696-01-01|1696-12-31; Bwh 1696-01-01|1696-12-31/1724-01-01|1724-12-31,,,,,_,,1661/62,1661-01-01/1662-12-31,Breda,,1724,1724-01-01/1724-12-31,,,,,,,,,,,,,,,,,,
757,,Jacob,van der,Waeyen,M,"1716 - R. 62 - Boonen Bwh, nr. 2",R. 62,1704 - Bwh 1704-1731†,Bwh 1704-01-01|1704-12-31/1731-01-01|1731-12-31,1695 - luit. W. III 1695-98,luit. W. III 1695-01-01|1695-12-31/1698-01-01|1698-12-31,,,"dl. 2, p. 853",,1668,1668-01-01/1668-12-31,,,1731,1731-01-01/1731-12-31,,,Geertruyd Blom,Geertruyd Blom (?),,,,Amsterdam,,koopman,,,,_,,,,
758,,Gerard,,Rogge Jr.,M,"1716 - R. 62 - Boonen Bwh, nr. 3",R. 62,1708 - Bwh 1708-1748,Bwh 1708-01-01|1708-12-31/1748-01-01|1748-12-31,,,,,_,,1683,1683-01-01/1683-12-31,,,1758,1758-01-01/1758-12-31,,,,,,,,,,,,,,"10.000 W. 41 / 2221 (met Theod. Rogge) 10.000 ink., 1180 huur",,,,
759,,Leonard,van,Hoesen,M,"1716 - R. 62 - Boonen Bwh, nr. 4",R. 62,"1712 - Dh 1712-1713, Bwh 1713-1719",Dh 1712-01-01|1712-12-31/1713-01-01|1713-12-31; Bwh 1713-01-01|1713-12-31/1719-01-01|1719-12-31,,,1719 Sch.,Sch. 1719-01-01|1719-12-31/1719-01-01|1719-12-31,"dl. 2, p. 900",,1678-04-19,1678-04-19,,,1746-02-22,1746-02-22,Amsterdam,,Maria Kuysten,Maria Kuysten (?),,,,Keizersgracht,,koopman,,,,"05.000 - 6000 W. 57 / 3886; Elias: 5-6000 ink., 1138 huur.",,,,
